chr01	436049	SL4.0ch01_73833
chr01	444037	SL4.0ch01_81987
chr01	469501	SL4.0ch01_106717
chr01	529398	SL4.0ch01_166052
chr01	553924	SL4.0ch01_190498
chr01	557400	SL4.0ch01_193966
chr01	570953	SL4.0ch01_206912
chr01	603316	SL4.0ch01_239304
chr01	606566	SL4.0ch01_242569
chr01	638443	SL4.0ch01_274561
chr01	642731	SL4.0ch01_278850
chr01	677341	SL4.0ch01_313267
chr01	677503	SL4.0ch01_313429
chr01	677611	SL4.0ch01_313537
chr01	688969	SL4.0ch01_324884
chr01	695340	SL4.0ch01_331297
chr01	726052	SL4.0ch01_363815
chr01	751174	SL4.0ch01_388966
chr01	772846	SL4.0ch01_410659
chr01	777090	SL4.0ch01_414908
chr01	778138	SL4.0ch01_415956
chr01	782328	SL4.0ch01_420144
chr01	797471	SL4.0ch01_435264
chr01	797536	SL4.0ch01_435329
chr01	823839	SL4.0ch01_461739
chr01	882437	SL4.0ch01_513885
chr01	886387	SL4.0ch01_517822
chr01	919596	SL4.0ch01_551269
chr01	947464	SL4.0ch01_579007
chr01	966320	SL4.0ch01_594227
chr01	971647	SL4.0ch01_599557
chr01	1002758	SL4.0ch01_630362
chr01	1007708	SL4.0ch01_635313
chr01	1033280	SL4.0ch01_660813
chr01	1046079	SL4.0ch01_673608
chr01	1049160	SL4.0ch01_676689
chr01	1060506	SL4.0ch01_688037
chr01	1060876	SL4.0ch01_688407
chr01	1089794	SL4.0ch01_717405
chr01	1113541	SL4.0ch01_741159
chr01	1126689	SL4.0ch01_754238
chr01	1173531	SL4.0ch01_800510
chr01	1202168	SL4.0ch01_828204
chr01	1233285	SL4.0ch01_859220
chr01	1253106	SL4.0ch01_879090
chr01	1284680	SL4.0ch01_910681
chr01	1299772	SL4.0ch01_926136
chr01	1368109	SL4.0ch01_994295
chr01	1405858	SL4.0ch01_1030863
chr01	1430019	SL4.0ch01_1055245
chr01	1430909	SL4.0ch01_1056135
chr01	1431269	SL4.0ch01_1056495
chr01	1445770	SL4.0ch01_1071356
chr01	1447536	SL4.0ch01_1073122
chr01	1454961	SL4.0ch01_1080803
